iterations,rate,period_us,quota_us,workers,pattern,burst_low,burst_high,load,trial,run_id,duration_sec,warmup_sec,p99_ms,p50_ms,p95_ms,cpu_usage_cores,throttling_fraction,successful_rps,failed,flags
44000,113.21,100000,50000,2,steady,56.605,169.815,high,5,p100000_w2_high_steady_r5,60,20,6.226471,5.00786,5.736781,0.4903559658982251,0.23666666666666666,113.21569695912679,0,
44000,66.59,100000,50000,2,bursty,33.295,99.885,moderate,1,p100000_w2_moderate_bursty_r1,60,20,6.487919,5.683533,6.268844,0.32372669317044955,0.0016666666666666668,66.59855880829737,0,
44000,66.59,100000,50000,2,bursty,33.295,99.885,moderate,2,p100000_w2_moderate_bursty_r2,60,20,6.483956,5.660736,6.232588,0.322355545762771,0.0033333333333333335,66.59826632281086,0,
44000,66.59,100000,50000,2,bursty,33.295,99.885,moderate,3,p100000_w2_moderate_bursty_r3,60,20,6.567234,5.741605,6.334828,0.32483042718452115,0.006666666666666667,66.59786456611184,0,
44000,66.59,100000,50000,2,bursty,33.295,99.885,moderate,4,p100000_w2_moderate_bursty_r4,60,20,6.541759,5.660328,6.274359,0.32279186880975597,0.0016666666666666668,66.59786792475661,0,
44000,66.59,100000,50000,2,bursty,33.295,99.885,moderate,5,p100000_w2_moderate_bursty_r5,60,20,6.554442,5.717762,6.307986,0.32359471260530603,0.01,66.59767739379132,0,
44000,66.59,100000,50000,2,steady,33.295,99.885,moderate,1,p100000_w2_moderate_steady_r1,60,20,6.594445,5.814246,6.351513,0.32808772666460667,0.0,66.59905703727122,0,
44000,66.59,100000,50000,2,steady,33.295,99.885,moderate,2,p100000_w2_moderate_steady_r2,60,20,6.637018,5.849692,6.402813,0.3300266060202637,0.0,66.5991374346116,0,
44000,66.59,100000,50000,2,steady,33.295,99.885,moderate,3,p100000_w2_moderate_steady_r3,60,20,6.557073,5.807032,6.348911,0.3277698256792434,0.0,66.59890436921442,0,
44000,66.59,100000,50000,2,steady,33.295,99.885,moderate,4,p100000_w2_moderate_steady_r4,60,20,6.529477,5.807852,6.330689,0.3278080908220008,0.0,66.59880136143298,0,
44000,66.59,100000,50000,2,steady,33.295,99.885,moderate,5,p100000_w2_moderate_steady_r5,60,20,6.540996,5.787129,6.313961,0.3269532218330654,0.0,66.59914503680555,0,
44000,113.21,100000,50000,4,bursty,56.605,169.815,high,1,p100000_w4_high_bursty_r1,60,20,4353.542979,164.979069,3528.514796,0.4380910658841316,0.7133550488599348,110.16414156177169,29,
44000,113.21,100000,50000,4,bursty,56.605,169.815,high,2,p100000_w4_high_bursty_r2,60,20,4312.484715,171.343965,3727.209897,0.44092817806491347,0.7182410423452769,110.61251106466071,3,
44000,113.21,100000,50000,4,bursty,56.605,169.815,high,3,p100000_w4_high_bursty_r3,60,20,4313.388593,171.431353,3711.429148,0.43882473034125596,0.7163934426229508,110.49633994684329,53,
44000,113.21,100000,50000,4,bursty,56.605,169.815,high,4,p100000_w4_high_bursty_r4,60,20,4220.354597,184.898041,3530.447282,0.43960150412192256,0.7152209492635024,110.26960711728275,58,
44000,113.21,100000,50000,4,bursty,56.605,169.815,high,5,p100000_w4_high_bursty_r5,60,20,4313.79784,165.326667,3498.741776,0.4399776818713549,0.7133550488599348,110.55155310908884,7,
44000,113.21,100000,50000,4,steady,56.605,169.815,high,1,p100000_w4_high_steady_r1,60,20,5.929623,5.001417,5.692079,0.48813159735905476,0.15333333333333332,113.21615723358477,0,
44000,113.21,100000,50000,4,steady,56.605,169.815,high,2,p100000_w4_high_steady_r2,60,20,6.025128,5.023138,5.718398,0.48847123313443397,0.19333333333333333,113.21472828711306,0,
44000,113.21,100000,50000,4,steady,56.605,169.815,high,3,p100000_w4_high_steady_r3,60,20,6.007624,5.030052,5.755426,0.4878487403336018,0.16,113.21577598117466,0,
44000,113.21,100000,50000,4,steady,56.605,169.815,high,4,p100000_w4_high_steady_r4,60,20,5.946427,4.974912,5.706663,0.484014953554868,0.13,113.21517283397336,0,
44000,113.21,100000,50000,4,steady,56.605,169.815,high,5,p100000_w4_high_steady_r5,60,20,6.011154,5.03616,5.742364,0.48797868281708856,0.15166666666666667,113.21458705244692,0,
44000,66.59,100000,50000,4,bursty,33.295,99.885,moderate,1,p100000_w4_moderate_bursty_r1,60,20,6.516793,5.670867,6.273889,0.32360490662289315,0.0033333333333333335,66.59856286295212,0,
44000,66.59,100000,50000,4,bursty,33.295,99.885,moderate,2,p100000_w4_moderate_bursty_r2,60,20,6.525767,5.677591,6.265757,0.32304541274834697,0.0016666666666666668,66.59834279014743,0,
44000,66.59,100000,50000,4,bursty,33.295,99.885,moderate,3,p100000_w4_moderate_bursty_r3,60,20,6.505662,5.685078,6.27812,0.3219796469592575,0.0,66.59788706992626,0,
44000,66.59,100000,50000,4,bursty,33.295,99.885,moderate,4,p100000_w4_moderate_bursty_r4,60,20,6.594463,5.70565,6.310144,0.32354360472892296,0.0066555740432612314,66.59769922042604,0,
44000,66.59,100000,50000,4,bursty,33.295,99.885,moderate,5,p100000_w4_moderate_bursty_r5,60,20,6.489344,5.669005,6.248225,0.32313868008541713,0.0033333333333333335,66.59880775480346,0,
44000,66.59,100000,50000,4,steady,33.295,99.885,moderate,1,p100000_w4_moderate_steady_r1,60,20,6.605426,5.821628,6.361454,0.3288367854554266,0.0,66.59942599286725,0,
44000,66.59,100000,50000,4,steady,33.295,99.885,moderate,2,p100000_w4_moderate_steady_r2,60,20,6.598424,5.823934,6.351101,0.3282203353819878,0.0,66.59892167465952,0,
44000,66.59,100000,50000,4,steady,33.295,99.885,moderate,3,p100000_w4_moderate_steady_r3,60,20,6.636762,5.813625,6.372044,0.32866850896363126,0.0,66.59953428610662,0,
44000,66.59,100000,50000,4,steady,33.295,99.885,moderate,4,p100000_w4_moderate_steady_r4,60,20,6.654554,5.839598,6.398022,0.32877803516735066,0.0,66.59899014397269,0,
44000,66.59,100000,50000,4,steady,33.295,99.885,moderate,5,p100000_w4_moderate_steady_r5,60,20,6.617016,5.8412,6.398355,0.3287855831970992,0.0,66.59896063220076,0,
44000,113.21,10000,5000,1,bursty,56.605,169.815,high,1,p10000_w1_high_bursty_r1,60,20,1132.526558,585.981085,1097.234003,0.4159658066805654,0.6655732327374119,101.13790494399424,628,
44000,113.21,10000,5000,1,bursty,56.605,169.815,high,2,p10000_w1_high_bursty_r2,60,20,1095.731751,468.880105,1010.481735,0.421344116615069,0.6693416311824435,105.56291505048053,349,
44000,113.21,10000,5000,1,bursty,56.605,169.815,high,3,p10000_w1_high_bursty_r3,60,20,1069.400584,547.0831,1039.573645,0.41912661997466444,0.6685245901639344,103.91708186896041,455,
44000,113.21,10000,5000,1,bursty,56.605,169.815,high,4,p10000_w1_high_bursty_r4,60,20,1038.266104,434.67303,981.431859,0.4213162922889651,0.6645383104125737,107.28770958107373,241,
44000,113.21,10000,5000,1,bursty,56.605,169.815,high,5,p10000_w1_high_bursty_r5,60,20,1039.136865,446.37503,991.777467,0.4205059713256716,0.662902961872034,106.82147328538365,266,
44000,113.21,10000,5000,1,steady,56.605,169.815,high,1,p10000_w1_high_steady_r1,60,20,19.008103,5.426317,9.534016,0.48868382091809437,0.6340609898350275,113.21548492909575,0,
44000,113.21,10000,5000,1,steady,56.605,169.815,high,2,p10000_w1_high_steady_r2,60,20,51.263314,5.647515,14.004973,0.4883734346858533,0.6567238793534411,113.20961030222239,0,
44000,113.21,10000,5000,1,steady,56.605,169.815,high,3,p10000_w1_high_steady_r3,60,20,20.43143,5.661724,12.199127,0.48805071329888167,0.6386666666666667,113.2151060983227,0,
44000,113.21,10000,5000,1,steady,56.605,169.815,high,4,p10000_w1_high_steady_r4,60,20,14.091893,5.416094,9.278346,0.48777730372418554,0.6155,113.21424304408012,0,
44000,113.21,10000,5000,1,steady,56.605,169.815,high,5,p10000_w1_high_steady_r5,60,20,13.438673,5.374057,9.12506,0.48771430423273743,0.6215630728211965,113.21162774353546,0,
44000,66.59,10000,5000,1,bursty,33.295,99.885,moderate,1,p10000_w1_moderate_bursty_r1,60,20,6.616661,5.659718,6.272668,0.322121441548087,0.0621446775142129,66.5987300965245,0,
44000,66.59,10000,5000,1,bursty,33.295,99.885,moderate,2,p10000_w1_moderate_bursty_r2,60,20,6.574722,5.669028,6.271208,0.32263468172055315,0.05411764705882353,66.59838762195642,0,
44000,66.59,10000,5000,1,bursty,33.295,99.885,moderate,3,p10000_w1_moderate_bursty_r3,60,20,6.676792,5.690561,6.344873,0.3231067792341246,0.07334246039507139,66.59868017399579,0,
44000,66.59,10000,5000,1,bursty,33.295,99.885,moderate,4,p10000_w1_moderate_bursty_r4,60,20,6.712711,5.688571,6.326668,0.3228070286718171,0.07502930832356389,66.59795351037661,0,
44000,66.59,10000,5000,1,bursty,33.295,99.885,moderate,5,p10000_w1_moderate_bursty_r5,60,20,6.471924,5.625305,6.203546,0.3218104704159165,0.03831041257367387,66.59864948150644,0,
44000,66.59,10000,5000,1,steady,33.295,99.885,moderate,1,p10000_w1_moderate_steady_r1,60,20,6.608459,5.805121,6.383711,0.32783669717954467,0.046825529078486916,66.59961123364937,0,
44000,66.59,10000,5000,1,steady,33.295,99.885,moderate,2,p10000_w1_moderate_steady_r2,60,20,6.606446,5.817397,6.362489,0.3274003736158356,0.044825862356273956,66.5996671115539,0,
44000,66.59,10000,5000,1,steady,33.295,99.885,moderate,3,p10000_w1_moderate_steady_r3,60,20,6.584779,5.807584,6.365898,0.3275525840703221,0.04315947342109648,66.59935563902431,0,
44000,66.59,10000,5000,1,steady,33.295,99.885,moderate,4,p10000_w1_moderate_steady_r4,60,20,6.593834,5.821077,6.368926,0.32794853812192376,0.04565905682386269,66.59870097901766,0,
44000,66.59,10000,5000,1,steady,33.295,99.885,moderate,5,p10000_w1_moderate_steady_r5,60,20,6.632517,5.793518,6.357225,0.3274334383813034,0.04365939010164972,66.59916694099036,0,
44000,113.21,10000,5000,2,bursty,56.605,169.815,high,1,p10000_w2_high_bursty_r1,60,20,1260.215051,652.882374,1177.544278,0.43512885182895616,0.7204634464751958,101.20140489917127,592,
44000,113.21,10000,5000,2,bursty,56.605,169.815,high,2,p10000_w2_high_bursty_r2,60,20,1350.303112,887.927092,1325.687264,0.4463966576566068,0.7681773720247799,90.60103289745713,1237,
44000,113.21,10000,5000,2,bursty,56.605,169.815,high,3,p10000_w2_high_bursty_r3,60,20,1329.266,870.380612,1307.010878,0.44536388314507364,0.7615786040443575,91.21788733898937,1200,
44000,113.21,10000,5000,2,bursty,56.605,169.815,high,4,p10000_w2_high_bursty_r4,60,20,1278.589913,600.961804,1199.322552,0.4378464186904585,0.7327136333985649,101.82677183657698,550,
44000,113.21,10000,5000,2,bursty,56.605,169.815,high,5,p10000_w2_high_bursty_r5,60,20,1315.965355,825.586665,1290.467137,0.4398110393193819,0.7378894144511499,92.1854440603266,1142,
44000,113.21,10000,5000,2,steady,56.605,169.815,high,1,p10000_w2_high_steady_r1,60,20,1296.248243,1202.89309,1276.969897,0.49812501568975975,0.9573807968647943,106.74777595603882,257,
44000,113.21,10000,5000,2,steady,56.605,169.815,high,2,p10000_w2_high_steady_r2,60,20,155.183393,18.52047,104.829271,0.4942392890986575,0.8935177470421597,113.21105278339715,0,
44000,113.21,10000,5000,2,steady,56.605,169.815,high,3,p10000_w2_high_steady_r3,60,20,83.750214,8.905752,60.48994,0.4918890854963498,0.8223629395100817,113.21486376902092,0,
44000,113.21,10000,5000,2,steady,56.605,169.815,high,4,p10000_w2_high_steady_r4,60,20,127.956105,46.965915,104.504983,0.4969631854400111,0.9447035309793471,113.15848860607811,0,
